id_cliente,churn
f6337b09-c973-453d-b113-f1daa4213b0a,0
1ecbc358-bda2-4e63-97ba-51fcec179785,0
7bdd4b1d-c95c-409b-aabd-b857ee1795df,0
ffa2dd54-558d-45cb-81fd-43be62752441,0
e8b15be3-822c-4e7d-a9a8-e2aae6091630,0
dbc623b0-cfad-453d-868e-dcaead983800,0
6b3f4a9d-71e1-4842-bf02-c8169c81dac7,0
7934eff9-85fe-44eb-b0fa-a6058c87aba9,0
6a7e5515-9b10-414a-867f-3bfd3e8f719e,0
12aa975b-b631-43c7-87a4-46955b1bf46c,0
88f5c533-4186-4cfc-8abd-a6b7356b44fb,0
a29534ea-4505-44f5-9061-5afa638a15fe,0
ca7f223f-180b-4f61-8bbc-4797c5ae1459,0
af04d7e4-1334-48c8-be74-10924215f17a,0
d9f1c545-64bc-4593-a97c-a5a9e58e8b5c,0
83148191-f59a-4e6d-b30e-2cb4e6e55899,0
e197da8d-11c8-4a73-ac5e-0f5ad373b6c5,0
8afae8cc-214f-489a-b38d-78dabebc34e7,0
48e66e9b-576c-457e-a7c0-c7fc2c99e286,0
d4abdb97-06f0-4ce4-9cd8-0ed68fcc5861,0
27e2db01-e85b-419e-ae96-85b0adf42933,0
dddae2c3-9a63-4905-b298-efb1c3d42933,0
ba4b927b-7566-4c7b-9c8b-6e7e807f6a58,0
2265eff5-6f39-4904-9c22-a83b740cfac2,0
4f832a4b-7f1d-4269-8d70-fec6d101c5aa,0
5a9f00f5-b74c-4708-8813-9ee6afdc1192,1
e6a64ff0-88b2-4ab2-a15e-2f3308d10ee4,0
af12a52c-14eb-4f63-baac-bd06649cd92e,1
bc27943c-5d52-44e0-aa5a-8c8cdc6e9860,0
f8efd397-c1d0-4d48-9b31-c0c2473228d4,1
c3c49040-0f60-4c96-b66a-54a4f046c57a,0
b2ab97b8-eb42-4fa9-aad6-4e528ce18e08,0
9db46564-b7fb-42cb-a23b-bdcf3191ce46,0
cd83c171-a176-410d-b648-a4a9ebd6497b,0
a4c8f2d9-22d2-46b8-b931-fb13c4a63f64,0
f9163d5a-863f-4d35-a6b1-b444de677b6d,0
f9fd9400-d526-44e2-9463-d4d5ed6be4cf,0
c199c7a2-caf8-4bec-a31a-3465a45cbc88,0
a2e37424-1448-4eaf-9c85-6f5c35a5e55a,0
225ae6bc-9710-4413-a71f-e44eaf437a38,0
c6cbad55-3bd7-4d86-92b2-a122c02e8940,0
e7181278-353b-4580-b6d7-abda09867276,0
d2ac96f0-4094-461e-9f97-c54c82c274f4,0
e143c7c6-3c24-492f-a591-dbaa6fb807fe,0
aac87e4f-fcc9-42b3-9ea1-d706c6a9a3a0,0
bd06acf9-e043-4640-9825-dddef2c895a6,0
1e98fa3a-ec77-4baa-bfee-7fd3c64e124d,0
2e1475bb-3b89-4cf0-9fe4-c7dca4b5c0b1,0
180a50e2-6d75-4e40-9bee-0db62a482083,1
75f60873-f8a8-4bd6-93d2-00213aa8e1b0,0
5c7f154a-948d-44dd-b377-ef59dd2ab227,0
16f13fd1-dcac-40fc-a902-793fe5a98cb3,0
00452d1f-d34a-4bc5-aa89-4a86c1ce3926,0
b639f821-6890-4c41-acc8-4813e0f95a7c,0
b2ff172d-227a-43b5-a0cc-5dc46a71c75a,1
fda99597-1170-47a5-89e8-d4290b01db14,0
49d64bd4-9104-4ace-8a14-c36b57e0ef94,0
8f712d4d-caae-4f3d-9df7-65263a38b930,0
d77fa7d9-07eb-4a8b-967d-03439506e033,0
b595fc74-bfd1-4696-903d-c696fcfb8046,0
26fa166f-0822-4768-a308-e2a559199565,0
432b57c9-1fe7-4f66-99f8-3c8738ca18cd,0
99125006-2771-4a1b-89b0-ceaa34a3393a,0
700bf072-1d46-4bae-869b-fba75ad326ed,0
a4d2438b-f953-44cc-8f92-0df12fa6e9ca,0
17caa823-e1be-46ed-9cbf-7742f5c0a13c,0
9c0e30e3-9c6a-4ba3-9f6b-cd24e6e6a0c3,0
8e8ebab6-2bad-40e3-b937-660ce6d39fb8,0
3f12c33e-7261-435d-b3ba-c06f2046bd32,1
3b22498e-dc1e-4a45-9c1b-59a3499b0c0c,0
e8d03f4a-ebfe-4b0e-b05e-89f5f1c5c3e7,0
e782b2c8-e0d3-4143-ad4e-fe43e93f7550,0
f96cfbd8-82ab-4e95-b8da-f4c2ffe319c2,0
b5d74469-e496-43f9-af20-a0a908d874ca,0
a4e33515-442c-4d5f-85ec-ddd41064e8ac,0
878e3715-3b3c-41de-8303-11b824ccfd89,0
fb65440a-0c5d-42eb-a787-3116a508ff9f,0
e396f002-131e-4945-b35f-5e051df7f078,1
94752abd-5cf2-4f97-9ca2-9dd4c794a9db,0
fc020307-acab-4023-9994-e26ea8849003,0
98c65cc0-1189-4f46-97dc-e593b316be58,1
4db95e54-97bc-4c76-aa2d-e5cda7dd8a66,0
d1b2b140-7481-4c9d-8fad-fad5d40bcf28,1
899b41fe-6001-4f08-b067-ac89c8518120,0
b5db8147-afa7-45bd-bbc9-b6f9b8be91d9,0
f6f16f13-c564-422d-8d68-cdc2c78c8aea,0
25258bc6-7492-4543-a93b-f5936f91fbc6,0
03f3605d-72af-441c-b395-7ec3b751a0da,0
b95c1137-1a54-4639-954e-a38b980e62ad,1
d8028be2-60c6-42b8-8c00-dbcd10b9f202,0
6288ea3b-54aa-4cdb-bce4-b2473ba8255e,0
07082c2a-6dbc-4fad-b82f-4f31f861e752,0
b9b1d4fb-efde-4b64-a301-dc9b80fa4202,0
e81b58e8-2662-4e3a-b2e8-2413ec054da8,0
f94e4a3f-cb16-4f15-a45b-9e94ce1a074e,0
4faffa55-7599-42af-8c54-79ea2292d2f5,0
47919114-a10e-464e-abf2-c6c14c2dcbaf,1
04b0b7ec-4fba-45f4-99c4-364567e4fca1,0
